applicant_id,variant,channel,risk_band,days_since_start,missing_doc_type,delivered,clicked_24h,responded_72h,doc_submitted_72h,app_completed_7d,unsub_7d,complaint_7d,support_contact_7d
100001,A,sms,medium,3,both,1,0,0,0,0,0,0,0
100002,B,sms,medium,2,both,1,0,0,1,0,0,0,0
100003,B,sms,low,2,paystub,1,0,0,1,1,0,0,0
100004,A,email,high,3,paystub,1,0,0,0,0,0,0,0
100005,original,sms,high,3,both,1,0,0,0,0,0,0,0
100006,original,email,low,2,bank_statement,1,0,0,0,0,0,0,0
100007,original,sms,medium,2,both,1,0,0,1,0,0,0,0
100008,B,email,medium,3,both,1,0,0,0,0,0,0,0
100009,A,sms,low,5,bank_statement,1,0,0,0,0,0,0,0
100010,B,email,low,1,paystub,1,1,0,0,0,0,0,0
100011,original,email,medium,3,bank_statement,1,0,0,0,0,0,0,0
100012,B,sms,high,5,bank_statement,1,0,0,0,0,0,0,0
100013,B,email,low,2,paystub,1,0,0,0,0,0,0,0
100014,original,email,medium,2,both,1,0,0,0,0,0,0,0
100015,original,sms,high,3,both,1,0,0,0,0,0,0,0
100016,original,sms,low,1,paystub,1,0,1,0,0,0,0,0
100017,original,sms,low,2,both,1,0,0,0,0,0,0,0
100018,A,email,medium,2,bank_statement,1,0,0,0,0,0,0,0
100019,A,sms,low,1,both,1,0,0,1,0,0,0,0
100020,original,sms,low,1,paystub,1,0,0,0,0,0,0,0
100021,A,sms,low,3,paystub,1,0,0,0,0,0,0,0
100022,original,sms,low,5,paystub,1,0,0,1,0,0,0,0
100023,original,email,high,2,paystub,1,1,0,0,0,0,0,0
100024,A,email,medium,1,paystub,1,0,0,1,1,0,0,0
100025,A,sms,low,3,both,1,1,0,0,0,0,0,0
100026,B,sms,medium,2,bank_statement,1,0,0,1,1,0,0,0
100027,original,email,high,3,both,1,0,0,0,0,0,0,0
100028,A,sms,low,3,bank_statement,1,0,0,1,1,0,0,0
100029,A,sms,low,5,paystub,1,0,0,0,0,0,0,0
100030,original,sms,high,1,bank_statement,1,0,0,0,0,0,0,0
100031,A,sms,high,1,both,1,0,0,0,0,0,0,0
100032,original,sms,low,2,bank_statement,1,0,0,1,1,0,0,0
100033,original,email,low,2,paystub,1,0,0,0,0,0,0,0
100034,B,sms,low,5,both,1,1,0,1,0,0,0,0
100035,B,email,low,5,paystub,1,0,0,0,0,0,0,0
100036,B,sms,medium,4,bank_statement,1,0,0,0,0,0,0,0
100037,original,sms,low,1,bank_statement,1,0,0,1,0,0,0,0
100038,original,email,low,3,paystub,1,0,0,0,0,0,0,0
100039,B,sms,medium,2,paystub,0,0,0,0,0,0,0,0
100040,A,sms,high,5,both,1,0,0,1,1,0,0,0
100041,original,sms,low,1,both,1,0,0,0,1,0,0,0
100042,A,sms,low,1,bank_statement,1,0,0,0,0,0,0,0
100043,original,email,high,4,paystub,1,0,0,0,0,0,0,0
100044,B,sms,medium,3,paystub,1,0,0,0,0,0,0,0
100045,original,email,low,4,paystub,1,0,0,1,1,0,0,0
100046,A,sms,low,1,bank_statement,1,0,0,0,0,0,0,0
100047,original,sms,low,4,paystub,1,1,0,0,1,0,0,0
100048,A,email,medium,3,paystub,1,0,0,0,0,0,0,0
100049,A,email,low,3,bank_statement,0,0,0,0,0,0,0,0
100050,original,sms,low,3,bank_statement,1,0,0,0,0,0,0,0
100051,B,sms,low,4,both,1,0,0,0,0,0,0,0
100052,B,sms,low,2,bank_statement,1,0,1,0,0,0,0,0
